Год издания,title,url,Availability,Библиографическое описание,Тип издания,Коллекции,Автор,Заглавие,Number_of_Images,Images
1942, Общая карта к русско-турецкой войне в Болгарии и Румелии 1877-78 г.,http://elib.shpl.ru/ru/nodes/39657-bankrott-des-deutschen-oberkommandos-propusk-dlya-perehoda-v-plen-locale-nil-b-m-1942,1,"Bankrott des deutschen Oberkommandos : [пропуск для перехода в плен]. – Б.м., [1942?]. – 3, [1] с.: ил. – Часть текста парал. нем., рус. – На нем. яз.",агитационный материал,Материалы к истории Великой Отечественной войны,,Bankrott des deutschen Oberkommandos,4,"2941335, 2941337, 2941339, 2941342"
1942,... [за 1912 г.] : (к Отчету о работах Переселенческого Управления за 1912 г.). - 1913.,http://elib.shpl.ru/ru/nodes/39646-das-lied-von-der-tundra-locale-nil-b-m-1942,1,"Das Lied von der Tundra : (Soldatenlied) : [пропуск для перехода в плен]. – Б.м., [1942?]. – [2] с.: ил. – Часть текста парал. рус., нем. – На нем. яз.",агитационный материал,Материалы к истории Великой Отечественной войны,,Das Lied von der Tundra,2,"2941192, 2941194"
1942,... [за 1913 год] : (к Отчету о работах Переселенческого Управления за 1913 г.). - 1914.,http://elib.shpl.ru/ru/nodes/39642-das-spiel-ist-verloren-locale-nil-b-m-1942,1,"Das Spiel ist verloren : (eine lehrreiche Geschichte in 6 Episoden) : [пропуск для перехода в плен]. – Б.м., [1942?]. – [2] с.: ил. – Текст начинается словами: Deutscher Soldat! Hitler hat Dich betrogen: er hat den Krieg bis Anbruch des Winters nicht beendet ... – Часть текста парал. нем., рус. – На нем. яз.",агитационный материал,Материалы к истории Великой Отечественной войны,,Das Spiel ist verloren,2,"2941174, 2941176"
1942,… [за 1914 г.] : (к Отчету о работах Переселенческого Управления за 1914 г.). - 1915.,http://elib.shpl.ru/ru/nodes/39651-der-grausame-russische-winter-wird-diese-verluste-bis-ins-unermessliche-steigern-locale-nil-b-m-1942,1,"Der grausame russische Winter wird diese Verluste bis ins unermessliche steigern!. – Б.м., [1942?]. – [2] с.: ил. – Текст начинается словами: Deutsche Soldaten! Kennt ihr den Winter, den grausamen, entkräftenden russischen Winter?... – На нем. яз.",агитационный материал,Материалы к истории Великой Отечественной войны,,Der grausame russische Winter wird diese Verluste bis ins unermessliche steigern!,2,"2941309, 2941311"
1942,[Атлас иллюстраций и карт. – 1802].,http://elib.shpl.ru/ru/nodes/39647-der-lugen-ober-plutokrat-locale-nil-b-m-1942,1,"Der Lügen-Ober-Plutokrat : Goebbels hat vorsorglich sein Millionen vermögen in ausländischen Banken untergebracht und zwar in Auslandsvaluta : [пропуск для перехода в плен]. – Б.м., [1942?]. – [2] с.: ил. – Содерж.: Glaub nicht den Goebbelslügen über die russische Kriegsgefangenschaft! / Johannes R. Becher. – Часть текста парал. нем., рус. – На нем. яз.",агитационный материал,Материалы к истории Великой Отечественной войны,,Der Lügen-Ober-Plutokrat,2,"2941196, 2941198"
1942,[Ч. 1]. – 1809.,http://elib.shpl.ru/ru/nodes/39654-des-fuhrers-weihnachtsbescherung-fur-das-deutsche-volk-locale-nil-b-m-1942,1,"Des Führers Weihnachtsbescherung für das deutsche Volk. – Б.м., [1942?]. – [2] с.: ил. – Текст начинается словами: Ihr Kinderlein kommet... В конце текста: Macht Schluss mit dem Krieg! – На нем. яз.",агитационный материал,Материалы к истории Великой Отечественной войны,,Des Führers Weihnachtsbescherung für das deutsche Volk,2,"2941322, 2941323"
1942,1-й и 3-й лагеря Карла XII,http://elib.shpl.ru/ru/nodes/39649-die-hitlers-kommen-und-gehen-aber-das-deutsche-volk-der-deutsche-staat-bleibt-locale-nil-b-m-1942,1,"Die Hitlers kommen und gehen, aber das deutsche Volk, der Deutsche Staat bleibt : [пропуск для перехода в плен] . – Б.м., [1942?]. – [2] с.: ил. – Содерж.: Deutschland, Erwache! / Joh. R. Becher. – Часть текста парал. нем., рус. – На нем. яз.",агитационный материал,Материалы к истории Великой Отечественной войны,,"Die Hitlers kommen und gehen, aber das deutsche Volk, der Deutsche Staat bleibt",2,"2941205, 2941207"
1942,1-й план Фридландского сражения 2 июня 1807 г. (с утра до 5 часов пополудни),http://elib.shpl.ru/ru/nodes/39658-die-hitlers-kommen-und-gehen-aber-das-deutsche-volk-der-deutsche-staat-bleibt-locale-nil-b-m-1942,1,"Die Hitlers kommen und gehen, aber das deutsche Volk, der Deutsche Staat bleibt : [пропуск для перехода в плен]. – Б.м., [1942?]. – [2] с.: ил. – Содерж.: Ballade von dem heilsammen Schnitt / Joh. R. Becher. – Часть текста парал. нем., рус. – На нем. яз.",агитационный материал,Материалы к истории Великой Отечественной войны,,"Die Hitlers kommen und gehen, aber das deutsche Volk, der Deutsche Staat bleibt",2,"2941340, 2941343"
1942,"1, 2 и 3 германские армии 9 и 10 сентября 1914 г.",http://elib.shpl.ru/ru/nodes/39645-die-niederlage-hitlers-bedeutet-die-befreiung-des-deutschen-volkes-locale-nil-b-m-1942,1,"Die Niederlage Hitlers bedeutet die Befreiung des deutschen volkes : [пропуск для перехода в плен]. – Б.м., [1942?]. – [2] с.: ил. – Часть текста парал. нем., рус. – На нем. яз.",агитационный материал,Материалы к истории Великой Отечественной войны,,Die Niederlage Hitlers bedeutet die Befreiung des deutschen volkes,2,"2941188, 2941190"
1942,15 ноября,http://elib.shpl.ru/ru/nodes/39637-die-russische-gefangenschaft-ist-ein-sicherer-weg-in-die-heimat-propusk-dlya-perehoda-v-plen-locale-nil-b-m-1942,1,"Die russische Gefangenschaft ist ein sicherer Weg in die Heimat : [пропуск для перехода в плен]. – Б.м., [1942?]. – [2] с.: ил. – Содерж.: Das Flugblatt / Johannes R. Becher. – Часть текста парал. нем., рус. – На нем. яз.",агитационный материал,Материалы к истории Великой Отечественной войны,,Die russische Gefangenschaft ist ein sicherer Weg in die Heimat,2,"2941026, 2941028"
