Год издания,title,url,Availability,Библиографическое описание,Тип издания,Коллекции,Автор,Заглавие,Number_of_Images,Images
, Общая карта к русско-турецкой войне в Болгарии и Румелии 1877-78 г.,http://elib.shpl.ru/ru/nodes/55728-obschaya-karta-k-russko-turetskoy-voyne-v-bolgarii-i-rumelii-1877-78-g,1,,карта,,,,1,3733867
1913,... [за 1912 г.] : (к Отчету о работах Переселенческого Управления за 1912 г.). - 1913.,http://elib.shpl.ru/ru/nodes/23164-za-1912-g-k-otchetu-o-rabotah-pereselencheskogo-upravleniya-za-1912-g-1913,1,"Карты заселяемых районов за Уралом ... [по годам] : (к Отчету о работах Переселенческого Управления ... [по годам]) / Переселенч. упр. Гл. упр. землеустройства и земледелия. - СПб., 1912-1915. ... [за 1912 г.] : (к Отчету о работах Переселенческого Управления за 1912 г.). - 1913. - 1 с., 12 л. к.","карта (2938)  книжное издание, архивный документ",,,Карты заселяемых районов за Уралом [за 1912 г.],38,"2165032, 2165033, 2165034, 2165035, 2165036, 2165037, 2165038, 2165039, 2165040, 2165041, 2165042, 2165043, 2165044, 2165045, 2165046, 2165047, 2165048, 2165049, 2165050, 2165051, 2165052, 2165053, 2165054, 2165055, 2165056, 2165057, 2165058, 2165059, 2165060, 2165061, 2165062, 2165063, 2165064, 2165065, 2165066, 2165067, 2165068, 2165069"
1914,... [за 1913 год] : (к Отчету о работах Переселенческого Управления за 1913 г.). - 1914.,http://elib.shpl.ru/ru/nodes/23165-za-1913-god-k-otchetu-o-rabotah-pereselencheskogo-upravleniya-za-1913-g-1914,1,"Карты заселяемых районов за Уралом ... [по годам] : (к Отчету о работах Переселенческого Управления ... [по годам]) / Переселенч. упр. Гл. упр. землеустройства и земледелия. - СПб., 1912-1915. ... [за 1913 год] : (к Отчету о работах Переселенческого Управления за 1913 г.). - 1914. - 1 с., 12 л. к.","карта (2938)  книжное издание, архивный документ",,,Карты заселяемых районов за Уралом [за 1913 год],38,"2164994, 2164995, 2164996, 2164997, 2164998, 2164999, 2165000, 2165001, 2165002, 2165003, 2165004, 2165005, 2165006, 2165007, 2165008, 2165009, 2165010, 2165011, 2165012, 2165013, 2165014, 2165015, 2165016, 2165017, 2165018, 2165019, 2165020, 2165021, 2165022, 2165023, 2165024, 2165025, 2165026, 2165027, 2165028, 2165029, 2165030, 2165031"
1915,… [за 1914 г.] : (к Отчету о работах Переселенческого Управления за 1914 г.). - 1915.,http://elib.shpl.ru/ru/nodes/23161-locale-nil-za-1914-g-k-otchetu-o-rabotah-pereselencheskogo-upravleniya-za-1914-g-1915,1,"Карты заселяемых районов за Уралом ... [по годам] : (к Отчету о работах Переселенческого Управления ... [по годам]) / Переселенч. упр. Гл. упр. землеустройства и земледелия. - СПб., 1912-1915. … [за 1914 г.] : (к Отчету о работах Переселенческого Управления за 1914 г.). - 1915. - 1 с., 13 л. к.","карта (2938)  книжное издание, архивный документ",,,Карты заселяемых районов за Уралом [за 1914 г.],40,"2165070, 2165071, 2165072, 2165073, 2165074, 2165075, 2165076, 2165077, 2165078, 2165079, 2165080, 2165081, 2165082, 2165083, 2165084, 2165085, 2165086, 2165087, 2165088, 2165089, 2165090, 2165091, 2165092, 2165093, 2165094, 2165095, 2165096, 2165097, 2165098, 2165099, 2165100, 2165101, 2165102, 2165103, 2165104, 2165105, 2165106, 2165107, 2165108, 2165109"
1802,[Атлас иллюстраций и карт. – 1802].,http://elib.shpl.ru/ru/nodes/100502-atlas-illyustratsiy-i-kart-locale-nil-1802,1,"Сарычев, Гавриил Андреевич. Путешествие флота капитана Сарычева по Северо-Восточной части Сибири, Ледовитому морю и Восточному океану, в продолжении осьми лет, при географической и астрономической морской экспедиции, бывшей под начальством флота капитана Биллингса, с 1785 по 1793 год / [Гаврила Сарычев]. – СПб.: Типография Шнора, 1802. – ; 25 см. - Авт. указан в конце посвящения . [Атлас иллюстраций и карт. – 1802]. – 51 л. ил., карт.; 43х50 см.","карта (2938)  книжное издание, архивный документ",,,[Атлас иллюстраций и карт],114,"5809970, 5809971, 5809972, 5809973, 5809974, 5809975, 5809976, 5809977, 5809978, 5809979, 5809980, 5809981, 5809982, 5809983, 5809984, 5809985, 5809986, 5809987, 5809988, 5809989, 5809990, 5809991, 5809992, 5809993, 5809994, 5809995, 5809996, 5809997, 5809998, 5809999, 5810000, 5810001, 5810002, 5810003, 5810004, 5810005, 5810006, 5810007, 5810008, 5810009, 5810010, 5810011, 5810012, 5810013, 5810014, 5810015, 5810016, 5810017, 5810018, 5810019, 5810020, 5810021, 5810022, 5810023, 5810024, 5810025, 5810026, 5810027, 5810028, 5810029, 5810030, 5810031, 5810032, 5810033, 5810034, 5810035, 5810036, 5810037, 5810038, 5810039, 5810040, 5810041, 5810042, 5810043, 5810044, 5810045, 5810046, 5810047, 5810048, 5810049, 5810050, 5810051, 5810052, 5810053, 5810054, 5810055, 5810056, 5810057, 5810058, 5810059, 5810060, 5810061, 5810062, 5810063, 5810064, 5810065, 5810066, 5810067, 5810068, 5810069, 5810070, 5810071, 5810072, 5810073, 5810074, 5810075, 5810076, 5810077, 5810078, 5810079, 5810080, 5810081, 5810082, 5810083"
1809,[Ч. 1]. – 1809.,http://elib.shpl.ru/ru/nodes/100503-ch-1-locale-nil-1809,1,"Лас-Каз, Марин Жозеф Эммануэль Дьедонне де. Исторический, генеалогический, хронологический, географический, атлас г. Лесажа. – СПб., 1809. – ; 56 см . [Ч. 1]. – 1809. – [3] с., [16] л. карт. с текстом.","карта (2938)  книжное издание, архивный документ",,,[Ч. 1],58,"5809586, 5809587, 5809588, 5809589, 5809590, 5809591, 5809592, 5809593, 5809594, 5809595, 5809596, 5809597, 5809598, 5809599, 5809600, 5809601, 5809602, 5809603, 5809604, 5809605, 5809606, 5809607, 5809608, 5809609, 5809610, 5809611, 5809612, 5809613, 5809614, 5809615, 5809616, 5809617, 5809618, 5809619, 5809620, 5809621, 5809622, 5809623, 5809624, 5809625, 5809626, 5809627, 5809628, 5809629, 5809630, 5809631, 5809632, 5809633, 5809634, 5809635, 5809636, 5809637, 5809638, 5809639, 5809640, 5809641, 5809642, 5809643"
,1-й и 3-й лагеря Карла XII,http://elib.shpl.ru/ru/nodes/79975-1-y-i-3-y-lagerya-karla-xii,1,,карта,,,,1,4827228
,1-й план Фридландского сражения 2 июня 1807 г. (с утра до 5 часов пополудни),http://elib.shpl.ru/ru/nodes/75984-1-y-plan-fridlandskogo-srazheniya-2-iyunya-1807-g-s-utra-do-5-chasov-popoludni,1,,карта,,,,1,4640477
,"1, 2 и 3 германские армии 9 и 10 сентября 1914 г.",http://elib.shpl.ru/ru/nodes/72079-1-2-i-3-germanskie-armii-9-i-10-sentyabrya-1914-g,1,,карта,,,,1,4459460
,15 ноября,http://elib.shpl.ru/ru/nodes/77329-15-noyabrya,1,,карта,,,,1,4704106
,16 ноября. Окрестности Борисова,http://elib.shpl.ru/ru/nodes/77330-16-noyabrya-okrestnosti-borisova,1,,карта,,,,1,4704107
,"1809 г. Войска Прозоровского, Багратиона, положение турецких войск",http://elib.shpl.ru/ru/nodes/75751-1809-g-voyska-prozorovskogo-bagrationa-polozhenie-turetskih-voysk,1,,карта,,,,1,4623387
,"1810 г. Положение армии гр. Каменского 2-го к 20 марта, Расположение турецких войск в апреле.",http://elib.shpl.ru/ru/nodes/75752-1810-g-polozhenie-armii-gr-kamenskogo-2-go-k-20-marta-raspolozhenie-turetskih-voysk-v-aprele,1,,карта,,,,1,4623388
,1916 г. Поход против Румынии,http://elib.shpl.ru/ru/nodes/57791-1916-g-pohod-protiv-rumynii,1,,карта,,,,1,3835814
,2-й батальон 19 пехотного полка во 2 половине октября 1918 г.,http://elib.shpl.ru/ru/nodes/81763-2-y-batalon-19-pehotnogo-polka-vo-2-polovine-oktyabrya-1918-g,1,,карта,,,,1,4908818
,2-й план Фридландского сражения 2 июня 1807 г. (с 6 часов пополудни),http://elib.shpl.ru/ru/nodes/75985-2-y-plan-fridlandskogo-srazheniya-2-iyunya-1807-g-s-6-chasov-popoludni,1,,карта,,,,1,4640478
,2-я атака Плевны,http://elib.shpl.ru/ru/nodes/75881-2-ya-ataka-plevny,1,,карта,,,,1,4624107
,3-я атака Плевны 30 августа 1877 г.,http://elib.shpl.ru/ru/nodes/75849-3-ya-ataka-plevny-30-avgusta-1877-g,1,,карта,,,,1,4624040
,"32-я пехотная дивизия 6, 7, 8 сентября 1914 г.",http://elib.shpl.ru/ru/nodes/72078-32-ya-pehotnaya-diviziya-6-7-8-sentyabrya-1914-g,1,,карта,,,,1,4459459
,7 августа. К востоку от Смоленска,http://elib.shpl.ru/ru/nodes/76008-7-avgusta-k-vostoku-ot-smolenska,1,,карта,,,,1,4640489
1814,Atlas zur Reise um die Welt unternommen auf Befehl seiner Kaiserlichen Majestat Alexander des Ersten auf den Schiffen 'Nadeshda' und 'Newa' unter dem Commando des Capitains von Krusenstern. [Bd. 1]. - 1814.,http://elib.shpl.ru/ru/nodes/25499-atlas-zur-reise-um-die-welt-unternommen-auf-befehl-seiner-kaiserlichen-majestat-alexander-des-ersten-auf-den-schiffen-nadeshda-und-newa-unter-dem-commando-des-capitains-von-krusenstern-bd-1-1814,1,"Kruzenstern, Ivan Fedorovic. Reise um die Welt in den Jahren 1803, 1804, 1805 und 1806 auf Befehl seiner Kaiserlichen Majestat Alexander des Ersten auf den Schiffen Nadeshda und Newa unter dem Commando des Capitains von der Kaiserlichen Marine A. J. von Krusenstern / Ivan Fedorovic Kruzenstern. - St. Petersburg, 1810-1814. - 5 т. Atlas zur Reise um die Welt unternommen auf Befehl seiner Kaiserlichen Majestat Alexander des Ersten auf den Schiffen 'Nadeshda' und 'Newa' unter dem Commando des Capitains von Krusenstern. [Bd. 1]. - 1814. - 61 л. ил., к. - Подписи к ил. также рус.","карта (2938)  книжное издание, архивный документ",Иллюстрированные издания,,Atlas zur Reise um die Welt unternommen auf Befehl seiner Kaiserlichen Majestat Alexander des Ersten auf den Schiffen 'Nadeshda' und 'Newa' unter dem Commando des Capitains von Krusenstern. [Bd. 1].,68,"2341614, 2341615, 2341616, 2341617, 2341618, 2341619, 2341620, 2341621, 2341622, 2341623, 2341624, 2341625, 2341626, 2341627, 2341628, 2341629, 2341630, 2341631, 2341632, 2341633, 2341634, 2341635, 2341636, 2341637, 2341638, 2341639, 2341640, 2341641, 2341642, 2341643, 2341644, 2341645, 2341646, 2341647, 2341648, 2341649, 2341650, 2341651, 2341652, 2341653, 2341654, 2341655, 2341656, 2341657, 2341658, 2341659, 2341660, 2341661, 2341662, 2341663, 2341664, 2341665, 2341666, 2341667, 2341668, 2341669, 2341670, 2341671, 2341672, 2341673, 2341674, 2341675, 2341676, 2341677, 2341678, 2341679, 2341680, 2341681"
1814,Atlas zur Reise um die Welt unternommen auf Befehl seiner Kaiserlichen Majestat Alexander des Ersten auf den Schiffen 'Nadeshda' und 'Newa' unter dem Commando des Capitains von Krusenstern. [Bd. 2]. - 1814.,http://elib.shpl.ru/ru/nodes/25498-atlas-zur-reise-um-die-welt-unternommen-auf-befehl-seiner-kaiserlichen-majestat-alexander-des-ersten-auf-den-schiffen-nadeshda-und-newa-unter-dem-commando-des-capitains-von-krusenstern-bd-2-1814,1,"Kruzenstern, Ivan Fedorovic. Reise um die Welt in den Jahren 1803, 1804, 1805 und 1806 auf Befehl seiner Kaiserlichen Majestat Alexander des Ersten auf den Schiffen Nadeshda und Newa unter dem Commando des Capitains von der Kaiserlichen Marine A. J. von Krusenstern / Ivan Fedorovic Kruzenstern. - St. Petersburg, 1810-1814. - 5 т. Atlas zur Reise um die Welt unternommen auf Befehl seiner Kaiserlichen Majestat Alexander des Ersten auf den Schiffen 'Nadeshda' und 'Newa' unter dem Commando des Capitains von Krusenstern. [Bd. 2]. - 1814. - 49 л. ил., к. - Подписи к ил. также рус.","карта (2938)  книжное издание, архивный документ",Иллюстрированные издания,,​Atlas zur Reise um die Welt unternommen auf Befehl seiner Kaiserlichen Majestat Alexander des Ersten auf den Schiffen 'Nadeshda' und 'Newa' unter dem Commando des Capitains von Krusenstern. [Bd. 2],60,"2341682, 2341683, 2341684, 2341685, 2341686, 2341687, 2341688, 2341689, 2341690, 2341691, 2341692, 2341693, 2341694, 2341695, 2341696, 2341697, 2341698, 2341699, 2341700, 2341701, 2341702, 2341703, 2341704, 2341705, 2341706, 2341707, 2341708, 2341709, 2341710, 2341711, 2341712, 2341713, 2341714, 2341715, 2341716, 2341717, 2341718, 2341719, 2341720, 2341721, 2341722, 2341723, 2341724, 2341725, 2341726, 2341727, 2341728, 2341729, 2341730, 2341731, 2341732, 2341733, 2341734, 2341735, 2341736, 2341737, 2341738, 2341739, 2341740, 2341741"
,Carte etnographique de la Russie occidentale et des pays limitrophe en Pologne et en Galicie,http://elib.shpl.ru/ru/nodes/92238-carte-etnographique-de-la-russie-occidentale-et-des-pays-limitrophe-en-pologne-et-en-galicie,1,,карта,,,,1,5468916
,Cхема движения Armee Navale,http://elib.shpl.ru/ru/nodes/93800-chema-dvizheniya-armee-navale,1,,карта,,,,1,5504268
,Dantzic,http://elib.shpl.ru/ru/nodes/2934-dantzic,1,,карта,,,,2,"328363, 328364"
,Elbing,http://elib.shpl.ru/ru/nodes/2933-elbing,1,,карта,,,,2,"328361, 328362"
,Europa´s Zukunfiskarte,http://elib.shpl.ru/ru/nodes/89238-europa-locale-nil-s-zukunfiskarte,1,,карта,,,,1,5252455
,Europa´s Zukunfiskarte,http://elib.shpl.ru/ru/nodes/89369-europa-locale-nil-s-zukunfiskarte,1,,карта,,,,1,5252918
,Pologne ou Lechie,http://elib.shpl.ru/ru/nodes/92236-pologne-ou-lechie,1,,карта,,,,1,5468914
,Pologne sous Stanislav Auguste en 1770,http://elib.shpl.ru/ru/nodes/92237-pologne-sous-stanislav-auguste-en-1770,1,,карта,,,,1,5468915
,Абсолютное количество крупного рогатого скота в Европейской России,http://elib.shpl.ru/ru/nodes/81338-absolyutnoe-kolichestvo-krupnogo-rogatogo-skota-v-evropeyskoy-rossii,1,,карта,,,,1,4891296
