year,title,link,DONE
1682,Слово на Никиту Пустосвята,https://www.prlib.ru/item/713797,1
1683,Слово благодарственное о избавлении церкви от отступников,https://www.prlib.ru/item/713798,1
1686,Евангелие учительное,https://www.prlib.ru/item/1599870,1
1697,Псалтырь царя Давида с кратким толкованием,https://www.prlib.ru/item/1672469,0
1700,"[Книга житий святых...на три м[е]с[я]цы третии март, априль, маий]",https://www.prlib.ru/item/394436,1
1704,"Лексикон треязычный, сиречь речений славянских, эллино-греческих и латинских сокровищ из различных древних и новых книг собранное и по славянскому алфавиту в чин расположенное",https://www.prlib.ru/item/342071,1
1709,"Архитектура воинская. Гипотетическая, и еклектическая",https://www.prlib.ru/item/397225,1
1710,[Азбука гражданская с нравоучениями],https://www.prlib.ru/item/315769,1
1710,Инструкции и артикулы военные надлежащие к россиискому флоту,https://www.prlib.ru/item/413680,0
1713,"Книга Марсова или воинских дел от воиск царскаго величества россииских. По взятии преславных фортификацеи, и на разных местах храбрых баталии учиненных. Над воиски его королевскаго величества Свеиского.",https://www.prlib.ru/item/713789,0
1714,Указ в дополнение о кадетах,https://www.prlib.ru/item/459643,0
1715,"Устав о воисках морских, и о их арсеналах. Людовика Четвертаго надесять короля французского и наварскаго.",https://www.prlib.ru/item/714831,0
1715,Книга о эксерциции церемониах и должностях воинским людем надлежащих,https://www.prlib.ru/item/713794,0
1716,"Книга ордера или во флоте морских прав,",https://www.prlib.ru/item/713213,0
1716,"Генералные сигналы, надзираемые во флоте, во время бою.",https://www.prlib.ru/item/406170,0
1716,Книга устав воинскии,https://www.prlib.ru/item/417755,0
1717,"Het Nieuwe Testament, Of Te alle boecken des Nieuwen Verbondts onses Heeren Jesu Christi",https://www.prlib.ru/item/1336100,0
1717,"Разсуждение какие законные причины его царское величество Петр Первыи царь и повелитель всероссиискии и протчая, и протчая, и протчая: к начатию воины против короля Карола 12, шведского 1700 году имел, и кто из сих обоих потентатов, во время сеи пребывающеи воины, более умеренности и склонности к примирению показывал, и кто в продолжении онои, с толь великим разлитием крови християнскои, и разорением многих земель виновен; и с которои воюющеи страны та воина по правилам християнских и политичных народов более ведена.",https://www.prlib.ru/item/712121,1
1718,"В посольскои канцелярии в Москве при разборе старинных архив или дел и писем, наидена грамота подлинная его цесарскаго величества римскаго Максимилиана, за его собственною рукою и печатью златою 1514 году, писанная на немецком старинном языке, к царю и великому князю всероссиискому, Василию Ивановичу, ко отцу царя Иоанна Василиевича, которого помянутои цесарь в тои грамоте своеи титуловал цесарем всероссииским: и понеже оная яко вещь древняя и куриозная, и ко утвержению без прекословному того высокого достоинства за толко уже лет всероссииским монархом надлежит, и от цесаря римского яко в свете первои градус имеющаго монарха воздаванная; того ради указал его царское величество оную грамоту перевесть на россиискои язык, и для всенароднаго известия в типографии своеи в Санктъпитербурхе выдать в печать, на славенском и самом том старонемецком языке, которои в подлиннои грамоте употреблен",https://www.prlib.ru/item/322714,0
1718,[Манифест об отрешении от наследия его царского величества перворожденного сына царевича Алексея Петровича],https://www.prlib.ru/item/394438,0
1718,"Обьявление розыскного дела и суда, по указу его царскаго величества на царевича Алексея Петровича, в Санктъпитербурхе отправленнаго, и по указу его величества в печать, для известия сенароднаго, сего июня в 25 день, 1718, выданое",https://www.prlib.ru/item/354609,0
1719,Земноводнаго круга краткое описание.,https://www.prlib.ru/item/812155,0
1720,Царского величества указ,https://www.prlib.ru/item/460847,0
1720,Его царского величества Генералный регламент или устав,https://www.prlib.ru/item/408206,0
1721,"Ратификация королевскаго величества свеискаго, на трактат вечнаго мира, учиненнои с его царским величеством в Неиштате,",https://www.prlib.ru/item/441841,0
1721,"Речъ, которая публично в церкви его царскому пресветлому величеству, от Синода и Сената говорена",https://www.prlib.ru/item/442015,0
1721,Царского величества указ из Сената,https://www.prlib.ru/item/460845,0
1721,Царского величества указ из Сената.,https://www.prlib.ru/item/460844,0
1721,"Ратификация королевскаго величества свеискаго на трактат вечнаго мира, учиненнои с его царским величеством в Неиштате, со внесением всего онаго трактата",https://www.prlib.ru/item/717221,0
1721,Указ.,https://www.prlib.ru/item/713791,0
1721,"Реляция что прежде, и при отправлении назначеннаго, от его императорского величества всероссииского.",https://www.prlib.ru/item/441985,0
1721,Царского величества указ,https://www.prlib.ru/item/460846,0
1721,Указ его величества императора и самодержца всероссиискаго,https://www.prlib.ru/item/459645,0
1722,Правда воли монаршеи.,https://www.prlib.ru/item/714832,0
1722,"Регламент о управлении адмиралтеиства и верфи и о должностях колегии Адмиралтеискои, и протчих всех чинов при адмиралтеистве обретающихся.",https://www.prlib.ru/item/361923,0
