year,title,link,DONE
1801,Торжество Белоградских муз,https://www.prlib.ru/item/717098,0
1801,"Всерадостный глас благодарения московских муз Вседержавному монарху россов Александру Первому, торжественно произнесенный апреля 14 дня, за изъявленное Его Императорским Величеством всемилостивейшее к ним благоволение в высочайших к начальникам Московского университета рескриптах от 4 апреля сего 1801 года",https://www.prlib.ru/item/405909,0
1801,Пантеон российских авторов,https://www.prlib.ru/item/436375,0
1801,"Речь, говоренная его императорскому величеству, в день рождения ея императорскаго величества государыни императрицы Марии Феодоровны, и по случаю отъезда их императорских величеств из Москвы в С.-Петербург, в Москве в Успенском соборе 1801 года, октября 19 дня преосвященным Платоном, митрополитом Московским",https://www.prlib.ru/item/717587,1
1801,Историческо-географическое описание Пермской губернии сочиненное для Атласа 1800 года,https://www.prlib.ru/item/416596,1
1801,История Ордена святаго Иоанна Иерусалимскаго. Ч. 5,https://www.prlib.ru/item/1709032,1
1801,Законы мусульман шиитского вероисповедания о браке и разводе на русском и арабском языках. Часть V. Б/д,https://www.prlib.ru/item/333388,1
1801,"Конвенция морскаго вооруженнаго нейтралитета, между их величествами императором всероссийским и королем прусским заключенная в Санктпетербурге, декабря 6/18 дня 1800 года",https://www.prlib.ru/item/420851,0
1801,"Географический словарь Российскаго государства, сочиненный в настоящем онаго виде. Ч. 1. А-Г",https://www.prlib.ru/item/1892354,1
1801,Законы мусульман шиитского вероисповедания о браке и разводе на русском и арабском языках. Часть IV. Б/д,https://www.prlib.ru/item/333387,0
1801,Санктпетербургский адрес календарь,https://www.prlib.ru/item/1338929,0
1801,"I [- II] Таблица хронологическая государей европейских.... Табл. 1. ... владеющих до пришествия великаго кн. Рюрика в Россию, : С показанием начальных оснований каждой монархии",https://www.prlib.ru/item/707713,1
1801,Лессепсово путешествие по Камчатке и по южной стороне Сибири.. Ч. 1,https://www.prlib.ru/item/426582,1
1801,"Географический словарь Российскаго государства,. Ч.1: А-Г",https://www.prlib.ru/item/406195,0
1801,"Речи Его Императорскому Величеству, благочестивейшему, самодержавнейшему, великому государю императору Александру Павловичу при всемилостивейшем Его Императорского Величества с высочайшею императорской фамилией посещении ставропигиального Воскресенского, Новый Иерусалим именуемого, монастыря, говоренная того же монастыря Архимандритом Иеронимом, 1801 года октября 6 дня",https://www.prlib.ru/item/362031,0
1801,Лессепсово путешествие по Камчатке и по южной стороне Сибири.. Ч. 2,https://www.prlib.ru/item/426583,0
1801,"I [- II] Таблица хронологическая государей европейских.... Табл. 2. ... начиная от российских великих князей. : С показанием время их правления от IX, до XIX столетия",https://www.prlib.ru/item/467405,0
1801,Законы мусульман шиитского вероисповедания о браке и разводе на русском и арабском языках. Часть II. Б/д,https://www.prlib.ru/item/333385,0
1801,"Voyages a Madagascar, a Maroc, et aux Indes Orientales. T. 3",https://www.prlib.ru/item/1624135,0
1801,"Voyages a Madagascar, a Maroc, et aux Indes Orientales. T. 2",https://www.prlib.ru/item/1624126,0
1801,Законы мусульман шиитского вероисповедания о браке и разводе на русском и арабском языках. Часть III. Б/д,https://www.prlib.ru/item/333386,1
1801,"Некоторые черты о внутренней церкви, о едином пути истинны и о различных путях заблуждения и гибели, с присовокуплением краткаго изображения качеств и должностей истиннаго христианина",https://www.prlib.ru/item/428933,1
1801,"Начальныя основания вексельнаго права, а особливо российскаго, купно и шведскаго,. Ч. 2",https://www.prlib.ru/item/899329,0
1801,"Некоторыя черты о внутренней церкви, о едином пути истинны и о различных путях заблуждения и гибели,",https://www.prlib.ru/item/714973,0
1801,Законы мусульман шиитского вероисповедания о браке и разводе на русском и арабском языках. Часть I. Б/д,https://www.prlib.ru/item/333384,0
1801,"Voyages a Madagascar, a Maroc, et aux Indes Orientales. T. 1",https://www.prlib.ru/item/1624118,0
1801,"Конвенция морскаго вооруженнаго нейтралитета, между их величествами императором всероссийским и королем датским заключенная в Санктпетербурге, декабря 4/16 дня 1800 года",https://www.prlib.ru/item/420850,0
1801,"Речи его императорскому величеству, благочестивейшему государю императору Александру Павловичу, самодержцу всероссийскому, при радостнейших случаях торжественнаго приезда его императорскаго величества в царствующий град Москву, и совершения августейшаго коронования и священнаго миропомазания",https://www.prlib.ru/item/717588,1
1801,"Новейший, всеобщий и полный секретарь, содержащий новое, полное и основательное наставление, как сочинять всякаго рода письма, с приобщением многих лучших примеров и состоящий в четырех частях. Ч. 3. Содержащая в себе письма поздравительные, на Новый год, на день рождения и именины, советовательные, жалобные, выговор содержащие, укорительные, похвальные, извинительные, утешительные, издевочные и любовные",https://www.prlib.ru/item/698298,0
1801,Новый российско-французско-немецкий словарь. Т. 2. К - Р,https://www.prlib.ru/item/351698,0
1801,"Договор дружбы, торговли и мореплавания между их величествами императором всероссийским и королем шведским заключенный в Санктпетербурге марта 1/13 дня 1801 года",https://www.prlib.ru/item/407631,0
1801,Законы мусульман шиитского вероисповедания о браке и разводе на русском и арабском языках. Часть VI. Б/д,https://www.prlib.ru/item/333389,0
1802,"Почта духов, или Ученая, нравственная и критическая переписка арабского философа Маликульмулька с водяными, воздушными и подземными духами. Ч. 3",https://www.prlib.ru/item/1823614,1
1802,"Почта духов, или Ученая, нравственная и критическая переписка арабского философа Маликульмулька с водяными, воздушными и подземными духами. Ч. 4",https://www.prlib.ru/item/1823615,1
1802,Англия и Италия. Ч. 1,https://www.prlib.ru/item/1332407,1
1802,Четыре времени года,https://www.prlib.ru/item/715236,1
1802,Арриана Перипл Понта Евксинскаго,https://www.prlib.ru/item/1332420,1
1802,"Travels through the Southern provinces of the Russian Empire, in the years 1793 and 1794. Vol. 1",https://www.prlib.ru/item/1502093,1
1802,"Разговоры о множестве миров господина Фонтенелла, Парижской Академии наук секретаря",https://www.prlib.ru/item/1620459,0
1802,"Начертание для изображения в живописи пресеченной в Москве 1771 года моровой язвы, которое предлагает художникам Данило Самойлович, действительный статский советник, медицины доктор ...",https://www.prlib.ru/item/725371,0
1802,"Ручной дорожник для употребления на пути между императорскими всероссийскими столицами, дающий о городах по оному лежащих известия историческия, географическия и политическия",https://www.prlib.ru/item/442628,0
1802,"Император Александр в Риге. 24 го, 25 го и 26 го мая 1802 года",https://www.prlib.ru/item/334530,0
1802,"Почта духов, или Ученая, нравственная и критическая переписка арабского философа Маликульмулька с водяными, воздушными и подземными духами. Ч. 2",https://www.prlib.ru/item/1602600,0
1802,Лессепсово путешествие по Камчатке и по южной стороне Сибири.. Ч. 3,https://www.prlib.ru/item/426584,0
1802,"Историческое похвальное слово Екатерине Второй,",https://www.prlib.ru/item/335117,0
1802,"Математическая география, почерпнутая из достоверных писателей и в пользу юношества выработанная Яковом Рубаном",https://www.prlib.ru/item/342986,1
1802,"Почта духов, или Ученая, нравственная и критическая переписка арабского философа Маликульмулька с водяными, воздушными и подземными духами. Ч. 1",https://www.prlib.ru/item/1602565,0
1802,"Краткое описание внутренняго Российской империи водоходства, между Балтийским, Черным, Белым и Каспийским, морями,",https://www.prlib.ru/item/341419,1
1802,"?[?Всевысочайшие приказы, отданные в присутствии е.и.в. государя императора]",https://www.prlib.ru/item/713543,0
1802,"Пятьдесят и одно священных размышлений, служащих к возбуждению истиннаго благочестия и ко усовершенствованию внутренняго человека.",https://www.prlib.ru/item/713550,0
1802,"Hauptzuge aus dem Leben unsers unvergesslichen Vaters des weyland Russisch-Kaiserlichen wirklichen Staatsraths, Residenten und Wolodimirs-Ordens Ritters Herrn Anton Sebastian von Struve",https://www.prlib.ru/item/713684,1
1802,Подражание некоторым песням Давидовым,https://www.prlib.ru/item/715081,0
1802,"О начале Владимира что на Клязьме, о пренесении в оной из Киева российской столицы и о бывших в оном великих князьях",https://www.prlib.ru/item/431542,1
1803,"Travels through the Southern provinces of the Russian Empire, in the years 1793 and 1794. Vol. 2",https://www.prlib.ru/item/1501489,0
1803,Полное собрание сочинений Михайла Васильевича Ломоносова. Ч. 4,https://www.prlib.ru/item/1308001,1
