URL,ID,Website,Images_IA
https://www.prlib.ru/item/394534,1718i19maja1844godavMoskve66,26,26
https://www.prlib.ru/item/316071,1905godvbashkirii48,226,226
https://www.prlib.ru/item/394569,23hdnevnajaoboronabajazetskojtsitadelii65,51,51
https://www.prlib.ru/item/316114,28dnejzagranitsejiliDejstvitelnajapoez55,262,262
https://www.prlib.ru/item/394580,300letiesibiri86,47,47
https://www.prlib.ru/item/316123,34gvardejskajapushechnajaartillerijskaja16,64,64
https://www.prlib.ru/item/316136,50letkjahtinskogorespublikanskogomuzejak61,106,106
https://www.prlib.ru/item/316487,APErmolovv1827goduvgostjahumoegoottsav8,22,22
https://www.prlib.ru/item/1561686,AcompletecollectionofTablesforNavigation51,744,744
https://www.prlib.ru/item/1286872,AdmiralrusskogoflotaFrantsJakovlevichLef34,110,110
https://www.prlib.ru/item/396751,AdmiralsenatorSemenAfanasevichPustoshk98,104,104
https://www.prlib.ru/item/1472707,AgeneralHistoryoftheTurksMogulsandTata13,432,432
https://www.prlib.ru/item/1472700,AgeneralHistoryoftheTurksMogulsandTata46,434,434
https://www.prlib.ru/item/722483,AjdaAbdulVsehvParizheobmanuliliDonesen66,18,18
https://www.prlib.ru/item/396800,AktyistoricheskiesobrannyeiizdannyeArhe72,578,578
https://www.prlib.ru/item/396843,Aktyotnosjaschiesjadojuridicheskagobyta1,404,404
https://www.prlib.ru/item/396842,AktyotnosjaschiesjadorodadvorjanGolohva93,151,151
https://www.prlib.ru/item/396884,AleksandrPervyjotetssvoegonarodaidrugch51,124,124
https://www.prlib.ru/item/396876,AleksandrVtoryj5,24,24
https://www.prlib.ru/item/1736155,AnaccountofthenativesoftheTongaislandsi70,510,510
https://www.prlib.ru/item/1736174,AnaccountofthenativesoftheTongaislandsi77,502,502
https://www.prlib.ru/item/1412634,AnauthenticaccountoftheembassyoftheDutch51,352,352
https://www.prlib.ru/item/317012,Anekdotydostoprimechatelnejshihproizshe21,,149
https://www.prlib.ru/item/317014,AnekdotyknjazjaItalijskogografaSuvorova36,200,200
https://www.prlib.ru/item/317016,Anekdotypodvigovboevojzhiznirusskihvoino76,12,12
https://www.prlib.ru/item/1332407,AnglijaiItalijaCh163,358,358
https://www.prlib.ru/item/1539315,AnglijskajaIndijav1843goduCh197,514,514
https://www.prlib.ru/item/1544752,AnglijskajaIndijav1843goduCh220,500,500
https://www.prlib.ru/item/1544854,AnglijskajaIndijav1843goduCh354,536,536
https://www.prlib.ru/item/784953,ArheologicheskierazyskanijaPSSaveleva71,16,16
https://www.prlib.ru/item/397225,ArhitekturavoinskajaGipoteticheskajaie14_,248,248
https://www.prlib.ru/item/1332420,ArrianaPeriplPontaEvksinskago75,80,80
https://www.prlib.ru/item/713785,Artikulvoinskij9,255,255
https://www.prlib.ru/item/713683,AsketchdrawnfromtherecordsoftheBritishFa18,40,40
https://www.prlib.ru/item/394644,AtlasAtlas95_,206,206
