title,url
 Общая карта к русско-турецкой войне в Болгарии и Румелии 1877-78 г.,http://elib.shpl.ru/ru/nodes/55728-obschaya-karta-k-russko-turetskoy-voyne-v-bolgarii-i-rumelii-1877-78-g
... [за 1912 г.] : (к Отчету о работах Переселенческого Управления за 1912 г.). - 1913.,http://elib.shpl.ru/ru/nodes/23164-za-1912-g-k-otchetu-o-rabotah-pereselencheskogo-upravleniya-za-1912-g-1913
... [за 1913 год] : (к Отчету о работах Переселенческого Управления за 1913 г.). - 1914.,http://elib.shpl.ru/ru/nodes/23165-za-1913-god-k-otchetu-o-rabotah-pereselencheskogo-upravleniya-za-1913-g-1914
… [за 1914 г.] : (к Отчету о работах Переселенческого Управления за 1914 г.). - 1915.,http://elib.shpl.ru/ru/nodes/23161-locale-nil-za-1914-g-k-otchetu-o-rabotah-pereselencheskogo-upravleniya-za-1914-g-1915
[Атлас иллюстраций и карт. – 1802].,http://elib.shpl.ru/ru/nodes/100502-atlas-illyustratsiy-i-kart-locale-nil-1802
[Ч. 1]. – 1809.,http://elib.shpl.ru/ru/nodes/100503-ch-1-locale-nil-1809
1-й и 3-й лагеря Карла XII,http://elib.shpl.ru/ru/nodes/79975-1-y-i-3-y-lagerya-karla-xii
1-й план Фридландского сражения 2 июня 1807 г. (с утра до 5 часов пополудни),http://elib.shpl.ru/ru/nodes/75984-1-y-plan-fridlandskogo-srazheniya-2-iyunya-1807-g-s-utra-do-5-chasov-popoludni
"1, 2 и 3 германские армии 9 и 10 сентября 1914 г.",http://elib.shpl.ru/ru/nodes/72079-1-2-i-3-germanskie-armii-9-i-10-sentyabrya-1914-g
15 ноября,http://elib.shpl.ru/ru/nodes/77329-15-noyabrya
16 ноября. Окрестности Борисова,http://elib.shpl.ru/ru/nodes/77330-16-noyabrya-okrestnosti-borisova
"1809 г. Войска Прозоровского, Багратиона, положение турецких войск",http://elib.shpl.ru/ru/nodes/75751-1809-g-voyska-prozorovskogo-bagrationa-polozhenie-turetskih-voysk
"1810 г. Положение армии гр. Каменского 2-го к 20 марта, Расположение турецких войск в апреле.",http://elib.shpl.ru/ru/nodes/75752-1810-g-polozhenie-armii-gr-kamenskogo-2-go-k-20-marta-raspolozhenie-turetskih-voysk-v-aprele
1916 г. Поход против Румынии,http://elib.shpl.ru/ru/nodes/57791-1916-g-pohod-protiv-rumynii
2-й батальон 19 пехотного полка во 2 половине октября 1918 г.,http://elib.shpl.ru/ru/nodes/81763-2-y-batalon-19-pehotnogo-polka-vo-2-polovine-oktyabrya-1918-g
2-й план Фридландского сражения 2 июня 1807 г. (с 6 часов пополудни),http://elib.shpl.ru/ru/nodes/75985-2-y-plan-fridlandskogo-srazheniya-2-iyunya-1807-g-s-6-chasov-popoludni
2-я атака Плевны,http://elib.shpl.ru/ru/nodes/75881-2-ya-ataka-plevny
3-я атака Плевны 30 августа 1877 г.,http://elib.shpl.ru/ru/nodes/75849-3-ya-ataka-plevny-30-avgusta-1877-g
"32-я пехотная дивизия 6, 7, 8 сентября 1914 г.",http://elib.shpl.ru/ru/nodes/72078-32-ya-pehotnaya-diviziya-6-7-8-sentyabrya-1914-g
7 августа. К востоку от Смоленска,http://elib.shpl.ru/ru/nodes/76008-7-avgusta-k-vostoku-ot-smolenska
Atlas zur Reise um die Welt unternommen auf Befehl seiner Kaiserlichen Majestat Alexander des Ersten auf den Schiffen 'Nadeshda' und 'Newa' unter dem Commando des Capitains von Krusenstern. [Bd. 1]. - 1814.,http://elib.shpl.ru/ru/nodes/25499-atlas-zur-reise-um-die-welt-unternommen-auf-befehl-seiner-kaiserlichen-majestat-alexander-des-ersten-auf-den-schiffen-nadeshda-und-newa-unter-dem-commando-des-capitains-von-krusenstern-bd-1-1814
Atlas zur Reise um die Welt unternommen auf Befehl seiner Kaiserlichen Majestat Alexander des Ersten auf den Schiffen 'Nadeshda' und 'Newa' unter dem Commando des Capitains von Krusenstern. [Bd. 2]. - 1814.,http://elib.shpl.ru/ru/nodes/25498-atlas-zur-reise-um-die-welt-unternommen-auf-befehl-seiner-kaiserlichen-majestat-alexander-des-ersten-auf-den-schiffen-nadeshda-und-newa-unter-dem-commando-des-capitains-von-krusenstern-bd-2-1814
Carte etnographique de la Russie occidentale et des pays limitrophe en Pologne et en Galicie,http://elib.shpl.ru/ru/nodes/92238-carte-etnographique-de-la-russie-occidentale-et-des-pays-limitrophe-en-pologne-et-en-galicie
Cхема движения Armee Navale,http://elib.shpl.ru/ru/nodes/93800-chema-dvizheniya-armee-navale
Dantzic,http://elib.shpl.ru/ru/nodes/2934-dantzic
Elbing,http://elib.shpl.ru/ru/nodes/2933-elbing
Europa´s Zukunfiskarte,http://elib.shpl.ru/ru/nodes/89238-europa-locale-nil-s-zukunfiskarte
Europa´s Zukunfiskarte,http://elib.shpl.ru/ru/nodes/89369-europa-locale-nil-s-zukunfiskarte
Pologne ou Lechie,http://elib.shpl.ru/ru/nodes/92236-pologne-ou-lechie
Pologne sous Stanislav Auguste en 1770,http://elib.shpl.ru/ru/nodes/92237-pologne-sous-stanislav-auguste-en-1770
Абсолютное количество крупного рогатого скота в Европейской России,http://elib.shpl.ru/ru/nodes/81338-absolyutnoe-kolichestvo-krupnogo-rogatogo-skota-v-evropeyskoy-rossii
Абсолютное количество площадей в Европейской России,http://elib.shpl.ru/ru/nodes/81340-absolyutnoe-kolichestvo-ploschadey-v-evropeyskoy-rossii
Австрийская атака против барража,http://elib.shpl.ru/ru/nodes/90019-avstriyskaya-ataka-protiv-barrazha
Австрия,http://elib.shpl.ru/ru/nodes/12472-avstriya
Австро-Венгерское наступление в Италии в 1918 г.,http://elib.shpl.ru/ru/nodes/58312-avstro-vengerskoe-nastuplenie-v-italii-v-1918-g
Австро-Венгрия ; Германская империя ; Балканский полуостров,http://elib.shpl.ru/ru/nodes/58629-avstro-vengriya-germanskaya-imperiya-balkanskiy-poluostrov
Административная карта Европейской России,http://elib.shpl.ru/ru/nodes/72252-administrativnaya-karta-evropeyskoy-rossii
Административная карта СССР (Азиатская часть),http://elib.shpl.ru/ru/nodes/89009-administrativnaya-karta-sssr-aziatskaya-chast
Азиатская часть бывшей Российской Империи,http://elib.shpl.ru/ru/nodes/90070-aziatskaya-chast-byvshey-rossiyskoy-imperii
Азов и его окрестности в конце XVII века,http://elib.shpl.ru/ru/nodes/75712-azov-i-ego-okrestnosti-v-kontse-xvii-veka
Алатырь Симбирской губернии,http://elib.shpl.ru/ru/nodes/787-alatyr-simbirskoy-gubernii
Александров Владимирского Наместничества,http://elib.shpl.ru/ru/nodes/266-aleksandrov-vladimirskogo-namestnichestva
Александровск Екатеринославской губернии,http://elib.shpl.ru/ru/nodes/1054-aleksandrovsk-ekaterinoslavskoy-gubernii
Алексин Тульского Наместничества,http://elib.shpl.ru/ru/nodes/911-aleksin-tulskogo-namestnichestva
"Альбом схематических карт районов СССР на весну 1935 года. – М., 1935.",http://elib.shpl.ru/ru/nodes/100750-albom-shematicheskih-kart-rayonov-sssr-na-vesnu-1935-goda-locale-nil-m-1935
Альминское сражение 8-20 сентября 1854 г.,http://elib.shpl.ru/ru/nodes/81990-alminskoe-srazhenie-8-20-sentyabrya-1854-g
Американская запретная зона,http://elib.shpl.ru/ru/nodes/89478-amerikanskaya-zapretnaya-zona
Англия и Франция в XII веке,http://elib.shpl.ru/ru/nodes/12399-angliya-i-frantsiya-v-xii-veke
Анкона,http://elib.shpl.ru/ru/nodes/81986-ankona
Ардаган,http://elib.shpl.ru/ru/nodes/75856-ardagan
Ардатов Нижегородского Наместничества,http://elib.shpl.ru/ru/nodes/670-ardatov-nizhegorodskogo-namestnichestva
Ардатов Нижегородского Наместничества,http://elib.shpl.ru/ru/nodes/671-ardatov-nizhegorodskogo-namestnichestva
Ардатов Симбирской губернии,http://elib.shpl.ru/ru/nodes/788-ardatov-simbirskoy-gubernii
Арзамас Нижегородского Наместничества,http://elib.shpl.ru/ru/nodes/672-arzamas-nizhegorodskogo-namestnichestva
Артиллерийское и продфуражное снабжение и этапная служба 8 армии к началу операции в мае 1916 г.,http://elib.shpl.ru/ru/nodes/63209-artilleriyskoe-i-prodfurazhnoe-snabzhenie-i-etapnaya-sluzhba-8-armii-k-nachalu-operatsii-v-mae-1916-g
Архангельск,http://elib.shpl.ru/ru/nodes/255-arhangelsk
Архангельск Вологодского Наместничества,http://elib.shpl.ru/ru/nodes/474-arhangelsk-vologodskogo-namestnichestva
Археологическая карта бассейна реки Пола в пределах Овсянского уезда,http://elib.shpl.ru/ru/nodes/59327-arheologicheskaya-karta-basseyna-reki-pola-v-predelah-ovsyanskogo-uezda
Археологическая карта Кубанской области,http://elib.shpl.ru/ru/nodes/56809-arheologicheskaya-karta-kubanskoy-oblasti
Астрабадский залив,http://elib.shpl.ru/ru/nodes/12495-astrabadskiy-zaliv
Астрахань,http://elib.shpl.ru/ru/nodes/258-astrahan
Астрахань,http://elib.shpl.ru/ru/nodes/2952-astrahan
Атака UB-7 и UB-8 русского флота во время обстрела им Варны 27 октября 1915 г.,http://elib.shpl.ru/ru/nodes/81553-ataka-ub-7-i-ub-8-russkogo-flota-vo-vremya-obstrela-im-varny-27-oktyabrya-1915-g
Атака Горного Дубняка,http://elib.shpl.ru/ru/nodes/75880-ataka-gornogo-dubnyaka
Атака западным отрядом укрепленного лагеря под Плевной 26-31 августа 1877 г.,http://elib.shpl.ru/ru/nodes/55561-ataka-zapadnym-otryadom-ukreplennogo-lagerya-pod-plevnoy-26-31-avgusta-1877-g
Атака западным отрядом укрепленного лагеря под Плевной 26-31 августа 1877 г. Третий бой под Плевной,http://elib.shpl.ru/ru/nodes/55562-ataka-zapadnym-otryadom-ukreplennogo-lagerya-pod-plevnoy-26-31-avgusta-1877-g-tretiy-boy-pod-plevnoy
Атака латышского стрелкового полка утром 21 октября 1919 г.,http://elib.shpl.ru/ru/nodes/64605-ataka-latyshskogo-strelkovogo-polka-utrom-21-oktyabrya-1919-g
Атака отряда курсантов на Детское село 23 октября 1919 г.,http://elib.shpl.ru/ru/nodes/64606-ataka-otryada-kursantov-na-detskoe-selo-23-oktyabrya-1919-g
"Атака Пола, инж. Россети 1 ноября 1918 г.",http://elib.shpl.ru/ru/nodes/90042-ataka-pola-inzh-rosseti-1-noyabrya-1918-g
Аткарск Саратовской губернии,http://elib.shpl.ru/ru/nodes/774-atkarsk-saratovskoy-gubernii
Атлас карт и планов к III тому перевода. – Б.г. ,http://elib.shpl.ru/ru/nodes/95041-atlas-kart-i-planov-k-iii-tomu-perevoda-locale-nil-b-g
"Атлас карт к Военному обозрению Финляндского военного округа. – Гельсингфорс, 1901.",http://elib.shpl.ru/ru/nodes/101435-atlas-kart-k-voennomu-obozreniyu-finlyandskogo-voennogo-okruga-locale-nil-gelsingfors-1901
"Атлас Российской империи, изданный для употребления юношества в 1794 [году] в Санктпетербурге. - [СПб., 1794].",http://elib.shpl.ru/ru/nodes/14502-atlas-rossiyskoy-imperii-izdannyy-dlya-upotrebleniya-yunoshestva-v-1794-godu-v-sanktpeterburge-spb-1794
Атлас сражений 1861-1865 гг. в Северной Америке,http://elib.shpl.ru/ru/nodes/55664-atlas-srazheniy-1861-1865-gg-v-severnoy-amerike
Атлас сражений 1866 г. в Австрии №8,http://elib.shpl.ru/ru/nodes/55640-atlas-srazheniy-1866-g-v-avstrii-locale-nil-8
Аттика и соседние с ней области средней Греции и Пелопоннеса,http://elib.shpl.ru/ru/nodes/89957-attika-i-sosednie-s-ney-oblasti-sredney-gretsii-i-peloponnesa
Афганистан,http://elib.shpl.ru/ru/nodes/12483-afganistan
Афганистан [1929 год],http://elib.shpl.ru/ru/nodes/97046-afganistan-1929-god
