year,title,link
1871,Восток христианский,https://www.prlib.ru/item/404647
1871,Заметки об усилении в России благосостояния крестьянского сословия,https://www.prlib.ru/item/411812
1871,Постановления Зеньковского уездного земского собрания .... седьмого созыва 1871 года,https://www.prlib.ru/item/438662
1871,"Баланс, высочайше утвержденного товарищества ""Общественная польза"".... к 1-му мая 1871 года",https://www.prlib.ru/item/397279
1871,"Вологодские губернские ведомости. 1871, № 49 [27 нояб.]",https://www.prlib.ru/item/326618
1871,"Иркутские губернские ведомости. 1875, № 26",https://www.prlib.ru/item/413945
1871,События на Волыни в 1789 году,https://www.prlib.ru/item/446383
1871,"Иркутские губернские ведомости. 1871, № 6",https://www.prlib.ru/item/416313
1871,Новый мировой суд,https://www.prlib.ru/item/429205
1871,Журналы Елецкого уездного земского собрания .... чрезвычайного [28 апреля] и 5-го очередного ... за 1870 год,https://www.prlib.ru/item/409353
1871,Журналы Богучарского уездного земского собрания .... [очередного c 25 по 30 сентября 1870 года],https://www.prlib.ru/item/715163
1871,Журналы Симбирского губернского земского собрания .... с 2-14 декабря 1870 года,https://www.prlib.ru/item/410014
1871,Наказ областному Правлению Войска Донского. Инструкции о делопроизводстве Областного правления Войска Донского,https://www.prlib.ru/item/428553
1871,"Сборник узаконений и распоряжений правительства о правах и обязанностях сельских обывателей, о их управлении и поземельном устройстве",https://www.prlib.ru/item/443162
1871,Годовой отчет состоящего под августейшим покровительством Государыни Императрицы в ведомстве императорского человеколюбивого общества Братолюбивого общества снабжения в Москве неимущих квартирами .... ... за 1870 год,https://www.prlib.ru/item/406437
1871,"Вологодские губернские ведомости. 1871, № 29 [10 июля]",https://www.prlib.ru/item/326596
1871,"Труды Императорского Вольного экономического общества. 1871, т. 3, вып. 1-[4]",https://www.prlib.ru/item/1332848
1871,Сословие приказчиков ввиду нового Городового положения,https://www.prlib.ru/item/450909
1871,Краткие сведения о всероссийских патриархах,https://www.prlib.ru/item/425481
1871,Средняя Азия и водворение в ней русской гражданственности,https://www.prlib.ru/item/451354
1871,Семья и школа. [Г. 1]. 1871. № 5. Май,https://www.prlib.ru/item/443983
1871,Полное собрание законов Российской империи. Т. 42. Отделение 1-е. 1867. От № 44078-44894,https://www.prlib.ru/item/358503
